=== Inicio de la Optimización PSO Global ===

--- Iteración 1 ---
Partícula 01 | Posición: [ 1.7858,  1.6049] | Velocidad: [ 1.9958, -3.3406] | pbest: -5.0309 | gbest: -22.0673
Partícula 02 | Posición: [-0.9189, -0.0481] | Velocidad: [ 2.7061, -1.0207] | pbest: -20.2283 | gbest: -22.0673
Partícula 03 | Posición: [ 3.1677, -1.0548] | Velocidad: [ 0.5390, -0.6273] | pbest: -11.2514 | gbest: -22.0673
Partícula 04 | Posición: [ 3.4556, -0.2367] | Velocidad: [ 0.2899, -1.1904] | pbest: -1.5876 | gbest: -22.0673
Partícula 05 | Posición: [ 3.7629, -1.3970] | Velocidad: [ 0.8390, -4.4551] | pbest: -23.0644 | gbest: -23.0644
Partícula 06 | Posición: [-0.9469,  0.4969] | Velocidad: [ 3.4670, -1.3942] | pbest: -7.2297 | gbest: -23.0644
Partícula 07 | Posición: [-0.2326, -0.2121] | Velocidad: [ 3.5320, -1.0475] | pbest: -10.9276 | gbest: -23.0644
Partícula 08 | Posición: [ 4.4359, -1.8784] | Velocidad: [ 7.0870, -5.0683] | pbest: -24.6714 | gbest: -24.6714
Partícula 09 | Posición: [ 1.6984, -0.7505] | Velocidad: [ 2.5478, -1.0497] | pbest: -10.5913 | gbest: -24.6714
Partícula 10 | Posición: [ 4.7077, -1.8207] | Velocidad: [ 3.4445,  0.7315] | pbest: -23.7456 | gbest: -24.6714
Partícula 11 | Posición: [-0.2671, -1.4299] | Velocidad: [ 3.6836, -0.3513] | pbest: -29.2343 | gbest: -29.2343
Partícula 12 | Posición: [ 0.6394, -0.7587] | Velocidad: [-2.0699, -1.5327] | pbest: -1.2969 | gbest: -29.2343
Partícula 13 | Posición: [ 0.4230, -3.6173] | Velocidad: [-0.2045,  0.6481] | pbest:  34.9739 | gbest: -29.2343
Partícula 14 | Posición: [ 1.2717, -1.5854] | Velocidad: [-2.5757,  0.2603] | pbest: -22.0673 | gbest: -29.2343
Partícula 15 | Posición: [-1.2569,  0.7941] | Velocidad: [ 0.1691, -0.3799] | pbest: -3.7375 | gbest: -29.2343
Partícula 16 | Posición: [-0.1334, -2.0290] | Velocidad: [-0.5493,  2.4619] | pbest: -21.6121 | gbest: -29.2343
Partícula 17 | Posición: [-0.2645, -1.4359] | Velocidad: [-0.4127,  0.9621] | pbest: -29.1773 | gbest: -29.2343
Partícula 18 | Posición: [-1.8853, -2.0080] | Velocidad: [ 1.9852,  0.7093] | pbest: -38.8350 | gbest: -38.8350
Partícula 19 | Posición: [-3.7993, -4.0701] | Velocidad: [ 0.7685,  0.8279] | pbest:  66.3022 | gbest: -38.8350
Partícula 20 | Posición: [-1.9944, -1.8428] | Velocidad: [-2.0535,  3.1088] | pbest: -39.4968 | gbest: -39.4968

--- Iteración 2 ---
Partícula 01 | Posición: [-0.2190,  1.1171] | Velocidad: [-2.0049, -0.4878] | pbest: -5.0309 | gbest: -39.4968
Partícula 02 | Posición: [-0.2869, -1.2081] | Velocidad: [ 0.6319, -1.1600] | pbest: -28.9072 | gbest: -39.4968
Partícula 03 | Posición: [ 0.1406, -1.8007] | Velocidad: [-3.0271, -0.7459] | pbest: -17.5760 | gbest: -39.4968
Partícula 04 | Posición: [ 3.2964, -0.7940] | Velocidad: [-0.1592, -0.5572] | pbest: -10.1866 | gbest: -39.4968
Partícula 05 | Posición: [-1.2803, -3.5956] | Velocidad: [-5.0432, -2.1985] | pbest: -23.0644 | gbest: -39.4968
Partícula 06 | Posición: [-0.6054, -2.3955] | Velocidad: [ 0.3415, -2.8924] | pbest: -25.0920 | gbest: -39.4968
Partícula 07 | Posición: [-0.4509, -2.1408] | Velocidad: [-0.2183, -1.9287] | pbest: -27.1553 | gbest: -39.4968
Partícula 08 | Posición: [ 4.8076, -3.8921] | Velocidad: [ 0.3717, -2.0137] | pbest: -24.6714 | gbest: -39.4968
Partícula 09 | Posición: [ 0.6214, -1.5805] | Velocidad: [-1.0770, -0.8300] | pbest: -10.5913 | gbest: -39.4968
Partícula 10 | Posición: [-1.1903, -1.5521] | Velocidad: [-5.8980,  0.2685] | pbest: -44.3817 | gbest: -44.3817
Partícula 11 | Posición: [ 0.8420, -1.6186] | Velocidad: [ 1.1091, -0.1888] | pbest: -29.2343 | gbest: -44.3817
Partícula 12 | Posición: [-1.8620, -2.0975] | Velocidad: [-2.5014, -1.3388] | pbest: -37.6933 | gbest: -44.3817
Partícula 13 | Posición: [-0.9327, -1.7274] | Velocidad: [-1.3557,  1.8899] | pbest: -40.9206 | gbest: -44.3817
Partícula 14 | Posición: [-0.7576, -1.5332] | Velocidad: [-2.0292,  0.0523] | pbest: -39.2369 | gbest: -44.3817
Partícula 15 | Posición: [-1.1235, -1.6748] | Velocidad: [ 0.1334, -2.4689] | pbest: -43.3382 | gbest: -44.3817
Partícula 16 | Posición: [-0.4987, -0.9786] | Velocidad: [-0.3653,  1.0504] | pbest: -31.4930 | gbest: -44.3817
Partícula 17 | Posición: [-0.8537, -1.1043] | Velocidad: [-0.5891,  0.3316] | pbest: -39.2228 | gbest: -44.3817
Partícula 18 | Posición: [-0.9251, -1.6154] | Velocidad: [ 0.9602,  0.3927] | pbest: -41.4770 | gbest: -44.3817
Partícula 19 | Posición: [-2.2849, -2.5740] | Velocidad: [ 1.5144,  1.4961] | pbest: -20.4867 | gbest: -44.3817
Partícula 20 | Posición: [-2.0364, -0.3175] | Velocidad: [-0.0419,  1.5253] | pbest: -39.4968 | gbest: -44.3817

--- Iteración 3 ---
Partícula 01 | Posición: [-1.4488,  1.4137] | Velocidad: [-1.2298,  0.2966] | pbest: -5.0309 | gbest: -44.3817
Partícula 02 | Posición: [-0.5052, -1.8515] | Velocidad: [-0.2183, -0.6434] | pbest: -32.4385 | gbest: -44.3817
Partícula 03 | Posición: [-1.1002, -2.0935] | Velocidad: [-1.2408, -0.2928] | pbest: -38.3508 | gbest: -44.3817
